OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
725,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00816505960295839,3.66784366078376e-06
726,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0018650426997534,1.56769009337791e-07
727,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.101709947941959,0.000136195250640208
728,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.203962533092366,0.000919915126887773
729,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.425050023357006,0.00278139421751687
730,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0716062067329008,0.000136765388627541
731,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.303798628188077,-0.00010409809969088
732,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.237107378178402,-8.2635104819351e-05
733,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.1912220571971,-0.000129111145298105
734,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.24810224035833,-0.000451381430504073
735,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.454360359711013,-0.00208332625928606
736,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00889250092205855,1.34221334559239e-06
737,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0150493919465021,9.27903299929097e-06
738,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0875664342977414,0.000237387046474619
739,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.006990011269271,2.05418331661402e-06
740,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00650558963622222,2.46100876972674e-07
741,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0533235520716119,3.22707330468771e-05
742,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.319396313977115,0.00128584292373247
743,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.13642314089566,0.000428389060407849
744,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.017017194585726,1.77040635553179e-05
745,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0351704304420229,2.66628026360658e-05
746,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0955034740785199,0.000365061863603543
747,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.00495101331736587,9.80831697869535e-07
748,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0126649710050468,6.32278135772636e-06
749,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.131071534885245,0.000528196756716326
750,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0439353240778837,7.15988784146201e-05
751,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.0168044763365798,1.73083900903309e-05
752,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0169761248986293,1.74649069557561e-05
753,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.060800682311208,0.000124403062671361
754,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.341274798945274,0.00276312759487166
755,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.115530021899793,0.000450169061675402
756,Southwestern Oregon RMP 2016,ORM06,Closed,WILDCHAR,,,0.485821417336782,0.00261802965224199
757,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00441039779762095,3.56055106007446e-07
758,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00489880986902372,7.1338552852109e-07
759,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00161403122933788,5.00237621254081e-08
760,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0231430163908725,2.04114308869363e-05
761,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00962157605792007,1.13039924911218e-06
762,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0329441829298148,5.01504442103685e-06
763,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ERMA,,,0.0333807972134887,5.28008927906324e-05
764,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,1.12363223001902,0.00683857348811336
765,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.058495995391765,0.000142670760860863
766,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.022992595931212,3.16980899143135e-05
767,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.067817223374687,0.000280944121779011
768,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0268774222424464,3.56105964705234e-05
769,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0340017731777318,6.51318746189793e-05
770,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.017173524594357,1.80153596085402e-05
771,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,SRMA,,,0.00845830213804242,3.60111726505163e-06
772,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,SRMA,,,0.0526594713841203,0.000120258838418374
